,bf_id,num_weights,CNR
0,1528225522_0,948480,5.4755400000000005
1,1528225522_1,407160,4.95114
2,1528225522_10,5684640,5.34352
3,1528225522_100,1219400,4.893199999999999
4,1528225522_101,271440,5.02872
5,1528225522_102,948480,5.038679999999999
6,1528225522_103,1761240,4.947699999999999
7,1528225522_104,1219400,5.164
8,1528225522_105,339300,5.05946
9,1528225522_106,4602000,5.25526
10,1528225522_107,3519360,5.362959999999999
11,1528225522_108,3519360,5.09324
12,1528225522_109,6767280,5.18908
13,1528225522_11,3519360,5.00544
14,1528225522_110,1219400,5.11246
15,1528225522_111,407160,5.05824
16,1528225522_112,1490320,5.144699999999999
17,1528225522_113,339300,5.077800000000001
18,1528225522_114,5684640,5.184220000000001
19,1528225522_115,1761240,5.18474
20,1528225522_116,407160,5.345440000000001
21,1528225522_117,271440,4.94296
22,1528225522_118,1219400,5.5256799999999995
23,1528225522_119,948480,5.34032
24,1528225522_12,339300,4.94838
25,1528225522_120,475020,5.0450800000000005
26,1528225522_121,4602000,5.088839999999999
27,1528225522_122,1490320,5.14688
28,1528225522_123,102050,5.184819999999999
29,1528225522_124,475020,4.419580000000001
30,1528225522_125,475020,5.3663799999999995
31,1528225522_126,4602000,5.29232
32,1528225522_127,119080,5.0107
33,1528225522_128,136110,5.140020000000001
34,1528225522_129,271440,5.1521799999999995
35,1528225522_13,85020,5.02682
36,1528225522_130,102050,5.14182
37,1528225522_131,102050,5.0881799999999995
38,1528225522_132,1490320,5.291980000000001
39,1528225522_133,102050,5.282639999999999
40,1528225522_134,136110,5.122300000000001
41,1528225522_135,6767280,5.24844
42,1528225522_136,119080,5.397939999999999
43,1528225522_137,5684640,5.02984
44,1528225522_138,85020,5.24058
45,1528225522_139,136110,5.05636
46,1528225522_14,85020,5.09312
47,1528225522_140,119080,5.041500000000001
48,1528225522_141,136110,5.28552
49,1528225522_142,271440,5.299640000000001
50,1528225522_143,475020,5.31048
51,1528225522_144,3519360,5.11302
52,1528225522_145,85020,5.14344
53,1528225522_146,1761240,5.2917000000000005
54,1528225522_147,407160,5.25364
55,1528225522_148,1490320,5.0724599999999995
56,1528225522_149,475020,5.08538
57,1528225522_15,339300,5.2308
58,1528225522_150,1219400,4.9828600000000005
59,1528225522_151,1219400,5.423579999999999
60,1528225522_152,5684640,5.358479999999999
61,1528225522_153,4602000,5.095599999999999
62,1528225522_154,5684640,5.063460000000001
63,1528225522_155,4602000,5.307840000000001
64,1528225522_156,1761240,5.116380000000001
65,1528225522_157,4602000,5.071859999999999
66,1528225522_158,102050,4.89158
67,1528225522_159,475020,4.9289000000000005
68,1528225522_16,1761240,5.0937600000000005
69,1528225522_160,136110,5.29282
70,1528225522_161,948480,5.13264
71,1528225522_162,85020,5.2732399999999995
72,1528225522_163,85020,5.3753
73,1528225522_164,1490320,4.975620000000001
74,1528225522_165,5684640,5.4119
75,1528225522_166,136110,1.550968
76,1528225522_167,339300,5.2143
77,1528225522_168,3519360,5.20374
78,1528225522_169,1219400,4.87902
79,1528225522_17,475020,5.251119999999999
80,1528225522_170,136110,5.05274
81,1528225522_171,1219400,4.99572
82,1528225522_172,271440,5.42316
83,1528225522_173,102050,5.1164000000000005
84,1528225522_174,475020,5.2201
85,1528225522_175,6767280,5.029059999999999
86,1528225522_176,119080,5.022239999999999
87,1528225522_177,6767280,5.35818
88,1528225522_178,3519360,5.21272
